id,geom,grid_id,p_val,p_m,p_w,d_csv,d_coffee,d_kfood,d_pharm,d_salon,sido_cd,sido_nm,버스정류장수,1km이내_버스정류장_수,500m이내_버스정류장_수,300m이내_버스정류장_수,200m이내_버스정류장_수,100m이내_버스정류장_수,당월_매출_금액,당월_매출_건수,개업_점포_수,폐업_점포_수
555,"MULTIPOLYGON (((185785.60085034728 545285.2133431489, 185785.069307961 545385.2479917379, 185885.1039619781 545385.7795395914, 185885.63550440443 545285.7448801073, 185785.60085034728 545285.2133431489)))",다사416455,0,0,0,0,0,0,0,0,11,서울특별시,0,28,12,5,0,0,0,0,0,0
558,"MULTIPOLYGON (((185784.00619050497 545585.3172888041, 185783.47461543616 545685.351937277, 185883.5092693381 545685.8835178129, 185884.0408444456 545585.8488584443, 185784.00619050497 545585.3172888041)))",다사416458,370,193,177,0,0,0,0,0,11,서울특별시,0,33,14,7,0,0,0,0,0,0
559,"MULTIPOLYGON (((185783.47461543616 545685.351937277, 185782.9430294749 545785.3865857138, 185882.97768333857 545785.9181771433, 185883.5092693381 545685.8835178129, 185783.47461543616 545685.351937277)))",다사416459,520,255,265,0,0,0,0,0,11,서울특별시,0,36,13,3,0,0,0,0,0,0
632,"MULTIPOLYGON (((186085.7048452001 545286.8079541412, 186085.17330269792 545386.842635414, 186185.2079893975 545387.3741833821, 186185.73953193997 545287.3394912144, 186085.7048452001 545286.8079541412)))",다사419455,25,13,12,0,0,0,0,0,11,서울특별시,0,30,10,5,4,2,0,0,0,0
681,"MULTIPOLYGON (((186285.24268699254 545387.9057313908, 186284.71113351983 545487.9404344127, 186384.74584196915 545488.4719933539, 186385.2773954827 545388.4372794377, 186285.24268699254 545387.9057313908)))",다사421456,0,0,0,0,0,0,0,0,11,서울특별시,0,31,9,5,4,0,0,0,0,0
653,"MULTIPOLYGON (((186074.54016504073 547387.5362527148, 186074.00839378688 547487.5709331704, 186174.04307966953 547488.102709889, 186174.5748509618 547388.0680185411, 186074.54016504073 547387.5362527148)))",다사419476,328,163,165,0,0,0,0,0,11,서울특별시,0,34,2,0,0,0,246225955.3,536607,0.314285714,0.542857143
671,"MULTIPOLYGON (((186178.2969450355 546687.8251780091, 186177.7652499862 546787.859869631, 186277.7999470348 546788.391570145, 186278.33164212236 546688.3568676308, 186178.2969450355 546687.8251780091)))",다사420469,131,60,71,1,1,0,0,1,11,서울특별시,1,26,6,4,2,2,706832875.4,1056011.5,0.678571429,0.678571429
672,"MULTIPOLYGON (((186177.7652499862 546787.859869631, 186177.2335440457 546887.8945612126, 186277.2682410542 546888.4262726195, 186277.7999470348 546788.391570145, 186177.7652499862 546787.859869631)))",다사420470,494,254,240,0,2,1,0,0,11,서울특별시,0,29,6,4,3,0,1096672969,2070362,0.607142857,0.857142857
674,"MULTIPOLYGON (((186176.7018272134 546987.929252756, 186176.1700994886 547087.963944261, 186276.20479642032 547088.4956774517, 186276.73652418444 546988.4609750544, 186176.7018272134 546987.929252756)))",다사420472,17,10,7,0,1,0,0,0,11,서울특별시,0,34,4,2,0,0,246225955.3,536607,0.314285714,0.542857143
675,"MULTIPOLYGON (((186176.1700994886 547087.963944261, 186175.63836087068 547187.9986357271, 186275.6730577635 547188.53037981, 186276.20479642032 547088.4956774517, 186176.1700994886 547087.963944261)))",다사420473,378,173,205,0,0,0,0,0,11,서울특별시,0,36,4,1,0,0,246225955.3,536607,0.314285714,0.542857143
